metric,rank,noun,verb,average
novelty,1,アリ,Xがしみる,4.0
novelty,1,ネコ,Xを搾り出す,4.0
novelty,1,ネコ,Xが流れ出る,4.0
novelty,1,におい,Xに浮く,4.0
novelty,1,労働,Xを啜る,4.0
novelty,1,労働,Xが滴る,4.0
novelty,1,勇気,Xが漏れる,4.0
novelty,1,岩,Xを啜る,4.0
novelty,1,憎悪,Xですすぐ,4.0
novelty,1,時間,Xが沸騰する,4.0
novelty,1,楽しさ,Xですすぐ,4.0
novelty,1,楽しさ,Xが澄む,4.0
novelty,1,理解,Xが沸騰する,4.0
novelty,1,睡眠,Xですすぐ,4.0
novelty,1,睡眠,Xに浮く,4.0
novelty,1,言葉,Xですすぐ,4.0
novelty,1,言葉,Xが沸騰する,4.0
novelty,18,アリ,Xが漏れる,3.9
novelty,18,ネコ,Xがほとばしる,3.9
novelty,18,ネコ,Xを撒き散らす,3.9
novelty,18,ネコ,Xが澄む,3.9
novelty,18,ネコ,Xが濁る,3.9
novelty,18,不安,Xに浮く,3.9
novelty,18,労働,Xですすぐ,3.9
novelty,18,労働,Xに浮く,3.9
novelty,18,労働,Xを飲む,3.9
novelty,18,喜び,Xですすぐ,3.9
novelty,18,嫉妬,Xを撒く,3.9
novelty,18,嫉妬,Xが淀む,3.9
novelty,18,嫉妬,Xが濁る,3.9
novelty,18,岩,Xを飲む,3.9
novelty,18,怒り,Xを啜る,3.9
novelty,18,恐怖,Xが濁る,3.9
novelty,18,悲しみ,Xをかける,3.9
novelty,18,時間,Xを垂らす,3.9
novelty,18,時間,Xを撒く,3.9
novelty,18,時間,Xが滴る,3.9
novelty,18,楽しさ,Xをかける,3.9
novelty,18,楽しさ,Xを垂らす,3.9
novelty,18,楽しさ,Xに浸す,3.9
novelty,18,理解,Xに沈む,3.9
novelty,18,睡眠,Xが流れる,3.9
novelty,18,睡眠,Xが流れ出る,3.9
novelty,18,睡眠,Xが滲む,3.9
novelty,18,砂,Xが澄む,3.9
novelty,18,音,Xを啜る,3.9
novelty,47,ネコ,Xがしみる,3.8
novelty,47,ネコ,Xを汲み取る,3.8
novelty,47,ネコ,Xに沈む,3.8
