metric,noun,verb,vote,user_id
comprehensibility,アリ,Xがしみる,0,bf05fd207840de648d220bce6ec216036140ec4ea0a736afe4f1941db76fa915
comprehensibility,アリ,Xがしみる,0,1b8a26cec6c53c5e000fb130756c9d053d8ddac43563d379a769479fa7b1cbb2
comprehensibility,アリ,Xがしみる,0,161b10803e62f9c62c852a015994265abbb20d0b17a2c38feb3d8b3e61e24d17
comprehensibility,アリ,Xがしみる,0,69fbb75ca425dadc00032986a41eff280d20d1fc06bd125fc77dd9bfeedbeaea
comprehensibility,アリ,Xがしみる,0,18d30a691363a2ab6686041eb656636f1e9284065f2ccecf579d73fdc42f359f
comprehensibility,アリ,Xがしみる,0,4b62546d82e984d02b8fa12c208faf0db3c816d4cb85d79d9b131ba958f34dbb
comprehensibility,アリ,Xがしみる,0,e5d371e35e2c45b0bd4f79095f94307ff5c1dad9a3cf2fba560365b9544597c6
comprehensibility,アリ,Xがしみる,0,9bbb747cef6c40379533ecfc1531d2c25ac1052e241f8101cb5ab680cd81fc35
comprehensibility,アリ,Xがしみる,0,9adfd9fa48fec7694b84719a3a71a117a9b7d7d42d08b101759dcfd675faae6c
comprehensibility,アリ,Xがしみる,0,002d60e3ad407bab0c146f1c6d2ded85f68749427a6262111ed100201b6aba29
comprehensibility,アリ,Xですすぐ,0,8512557d532727899b818106b2ec59bd7b27ee4bf8cd1330e6bedd82a4536955
comprehensibility,アリ,Xですすぐ,2,14013ca0941288bcfa9f959cdb4c799a38b34361b58696ebc571aa2d6a949e61
comprehensibility,アリ,Xですすぐ,1,e79411423012b76d0c916a7613107fc0bc3f9e9271653b011df52ede65dc7d69
comprehensibility,アリ,Xですすぐ,2,fbec0ec426d14495a5206cb9cc4d617a087d5174c34807c9f2490479be09bd3b
comprehensibility,アリ,Xですすぐ,0,6ebaa61f43c96d43dcae150164662be4a5ac3b0f576bad366b88e34f9dbe116e
comprehensibility,アリ,Xですすぐ,0,864117edf18cb7ec1b73281613326d64c286c3ad9ef215848919fa9cc5f08863
comprehensibility,アリ,Xですすぐ,0,4610d3b23c8c9da69be014a3c85dc8aa637a3813edcced691eabbc28cde0e72f
comprehensibility,アリ,Xですすぐ,1,5f953233efe3dccfb4681990f6aa18791d02d634d1f9b70b041e4aaaa0002e63
comprehensibility,アリ,Xですすぐ,0,e4a5cac7fe9b29f135190bfc734d400a273c481a16b3c7b2ab10b4f3374d035a
comprehensibility,アリ,Xですすぐ,0,52fdddf668e52e79e4fea45a90e26fe89c089a90b85a04f886484d5e3e7c0847
comprehensibility,アリ,Xをかける,2,949ac2e5e87f9b0a104991b24ec4e369c3885e0bbfcef4f25b7f34c8c5bd5840
comprehensibility,アリ,Xをかける,0,e3652386104e2bf60d57d32e187ddfaf13f23872416764d16d3854ad9c49d598
comprehensibility,アリ,Xをかける,0,ff2e85b7caff5ef5dddd70d4c229145dfd3f65de65675edd05392933b497fd95
comprehensibility,アリ,Xをかける,0,9686f114309533f77ff850164bb2985f620436406d7cc5fa1be9221b946980a9
comprehensibility,アリ,Xをかける,1,8791d8a43a3720f9ab9cd1c911bf83f0cae097ce1d6e51ac3be1b5d501afbf12
comprehensibility,アリ,Xをかける,2,c2f36701d5adebaad133dfce8b46b7de22072d3fa8fd2ad16c0d41af105f5de8
comprehensibility,アリ,Xをかける,1,88548422b6d3bef3797bf26de08c6f8fb879601c6c43936fedd2d4e072115643
comprehensibility,アリ,Xをかける,0,96f6b0f4c07aea1a759d2d8063abcac61db5b269b189cf1c70c048b30819e428
comprehensibility,アリ,Xをかける,0,5465d59403bc309c58d94eb2617833efcaabe581e70af4a5a5ca639e70308edb
comprehensibility,アリ,Xをかける,0,f9f9b7b4257b102d1d7a8087a91832cd42b7066775d87030f4176273cd8db167
comprehensibility,アリ,Xがこぼれる,1,99de07fa243386a4268c8288fd15a80c84eec5cfacf584cda0a3ac17033e162b
comprehensibility,アリ,Xがこぼれる,3,076cc1ca859fb33d316008fa6b30cc57009496bcbaec981b62dec16cd146fca2
